IdCliente,Nombre,Apellido,DNI,Telefono,Direccion
1,Pedro,Vega,86692358,963777009,Calle 50 #458
2,Saul,Fernandes,14373493,989386257,Calle 50 #536
3,Lucía,Fernandes,67564514,951406688,Calle 119 #983
4,Sofía,Martinez,74768331,970078848,Calle 171 #861
5,Sofía,García,87590101,945687128,Calle 153 #473
6,Manuel,Ramirez,11990777,938131198,Calle 109 #724
7,Ana,Martinez,37662036,997545299,Calle 52 #171
8,Ana,Fernandes,72086504,917415502,Calle 90 #360
9,Pedro,Rojas,75940689,966931288,Calle 195 #298
10,María,Rojas,47248192,949460204,Calle 130 #611
11,Sofía,Torres,97707598,964299024,Calle 114 #754
12,Pedro,Lopez,31505647,947186466,Calle 124 #557
13,Jorge,Vega,14617569,974412614,Calle 22 #806
14,Sofía,Lopez,79883058,964392657,Calle 44 #717
15,Ana,Vega,75778173,918789737,Calle 153 #967
16,María,Ramirez,53992922,989426357,Calle 84 #767
17,Pedro,Fernandes,20212539,963222110,Calle 157 #482
18,María,Vega,43553985,935013562,Calle 62 #272
19,María,Fernandes,58473890,984639361,Calle 14 #325
20,Luis,Fernandes,15980256,966593628,Calle 50 #683
21,Luis,Rojas,66424622,989649760,Calle 5 #501
22,Lucía,Lopez,28614559,987073332,Calle 49 #635
23,Luis,Lopez,90958873,916396015,Calle 169 #808
24,Luis,Ramirez,57658257,914905761,Calle 145 #474
25,Ana,Lopez,61218288,990686173,Calle 164 #275
26,Saul,Fernandes,66541096,991343334,Calle 89 #268
27,Carlos,Castillo,48066592,978601130,Calle 90 #190
28,Ana,Rojas,45208143,987563009,Calle 90 #161
29,Saul,Rojas,71314839,973190815,Calle 157 #562
30,Jorge,Vega,33443889,933500571,Calle 91 #943
31,Ana,Lopez,50682079,984997724,Calle 132 #569
32,Ana,García,98831509,923023455,Calle 111 #756
33,Saul,Ramirez,58665658,935160908,Calle 164 #749
34,Lucía,Vega,27848024,967548164,Calle 93 #672
35,Ana,Ramirez,71327894,991256089,Calle 14 #269
36,María,García,42129078,916649420,Calle 149 #280
37,Manuel,Vega,69008525,958380365,Calle 48 #409
38,Carlos,Martinez,92319332,990270204,Calle 196 #539
39,Manuel,Lopez,60364262,936163193,Calle 126 #266
40,Saul,Martinez,15940561,972844322,Calle 199 #436
41,Carlos,Sosa,88239749,933648933,Calle 149 #823
42,Ana,Sosa,10544272,978901443,Calle 165 #813
43,Ana,Fernandes,41628935,963231469,Calle 31 #340
44,Manuel,Martinez,27981488,995738039,Calle 80 #840
45,María,Castillo,36166189,997180221,Calle 26 #453
46,Sofía,Vega,50649256,973779496,Calle 156 #350
47,Sofía,Torres,81987029,911640187,Calle 171 #261
48,Ana,García,59143230,923005021,Calle 131 #752
49,Jorge,Fernandes,42236719,987438556,Calle 103 #696
50,Lucía,Torres,52193195,957709966,Calle 18 #293
51,Luis,Castillo,99481610,981302511,Calle 7 #176
52,Ana,Ramirez,83683141,912320250,Calle 168 #957
53,Ana,Lopez,70481595,933915830,Calle 187 #148
54,Pedro,Lopez,68523084,993930503,Calle 122 #906
55,Saul,Ramirez,73078838,937590995,Calle 33 #396
56,Lucía,García,18723370,943069128,Calle 99 #729
57,Sofía,Vega,97641187,989932886,Calle 108 #994
58,Sofía,Ramirez,88456466,926824032,Calle 2 #226
59,Carlos,Ramirez,53578923,933872131,Calle 32 #809
60,Ana,Fernandes,77366162,911963382,Calle 170 #544
61,Saul,Vega,30994191,966606130,Calle 13 #664
62,Saul,Ramirez,40104897,960509743,Calle 149 #570
63,Jorge,Lopez,65414501,934930457,Calle 9 #508
64,Jorge,Rojas,41994017,958933677,Calle 171 #172
65,Saul,Torres,14955972,943982255,Calle 46 #193
66,Jorge,Ramirez,14260968,930616531,Calle 72 #180
67,Sofía,Torres,76652993,928896185,Calle 197 #207
68,Sofía,Fernandes,50421581,948623003,Calle 181 #733
69,Pedro,Ramirez,91426837,987281601,Calle 67 #750
70,Sofía,Martinez,98300627,978418720,Calle 38 #830
71,Carlos,Ramirez,19668343,991714218,Calle 16 #761
72,Lucía,Castillo,81602974,911963682,Calle 55 #250
73,María,Martinez,20864867,930254808,Calle 7 #483
74,Sofía,Fernandes,30090801,974131556,Calle 77 #575
75,Jorge,Sosa,61595826,994008664,Calle 37 #128
76,Ana,Vega,86133056,930670477,Calle 116 #772
77,Saul,Lopez,60220893,978003478,Calle 172 #580
78,Saul,Ramirez,90705730,975736307,Calle 152 #498
79,Saul,Rojas,30087247,946788014,Calle 55 #606
80,Sofía,Lopez,25155288,997727459,Calle 145 #887
81,Sofía,Martinez,22966215,930031677,Calle 165 #424
82,Pedro,Sosa,69263948,917411214,Calle 118 #154
83,Pedro,Castillo,32328963,980048353,Calle 13 #489
84,Luis,Fernandes,35625668,914821265,Calle 33 #134
85,Carlos,Lopez,56799184,968420546,Calle 57 #775
86,Jorge,Vega,68147347,998847244,Calle 186 #192
87,Manuel,Fernandes,65576988,959161358,Calle 117 #538
88,María,Sosa,69808395,926997730,Calle 196 #745
89,Ana,Castillo,42948019,982530533,Calle 50 #797
90,Lucía,Sosa,46870065,961291667,Calle 56 #983
91,Sofía,Vega,29262017,975691162,Calle 176 #949
92,Ana,García,92846264,919116186,Calle 138 #846
93,Saul,Vega,80042454,989408540,Calle 138 #233
94,Manuel,Martinez,33952550,971163351,Calle 23 #974
95,Lucía,Ramirez,26036670,970956559,Calle 46 #780
96,Saul,Lopez,45839766,961581108,Calle 162 #312
97,Lucía,Lopez,71167697,950142923,Calle 151 #365
98,Saul,Ramirez,50610262,975039889,Calle 107 #464
99,Pedro,Ramirez,32137577,953697529,Calle 173 #400
100,Sofía,Vega,98640298,916447582,Calle 105 #831
101,María,Rojas,97070372,932872603,Calle 30 #958
102,Ana,Martinez,33395220,922441704,Calle 31 #573
103,Saul,Fernandes,33634324,960832223,Calle 137 #182
104,Carlos,Castillo,74442412,983919464,Calle 67 #684
105,Jorge,Fernandes,56650224,966572005,Calle 30 #871
106,Ana,Rojas,54031995,939627589,Calle 101 #123
107,Jorge,Rojas,68345862,994947153,Calle 146 #828
108,Jorge,Martinez,40019898,950097565,Calle 144 #772
109,Saul,Rojas,10672239,932358316,Calle 59 #583
110,Jorge,Vega,83128603,972780729,Calle 104 #409
111,Sofía,Rojas,15861683,990269070,Calle 195 #123
112,Sofía,Castillo,54514278,959336555,Calle 162 #821
113,Jorge,Torres,52872261,934660614,Calle 61 #328
114,Pedro,Vega,42564265,931557032,Calle 136 #898
115,Carlos,Castillo,20727356,985804880,Calle 9 #159
116,Saul,Martinez,45133809,951278735,Calle 43 #886
117,Lucía,Ramirez,70137048,932555317,Calle 120 #421
118,Carlos,Castillo,64330330,942944934,Calle 10 #117
119,Saul,Rojas,88228664,970944754,Calle 198 #460
120,Carlos,Martinez,31237545,994721768,Calle 175 #464
121,María,Ramirez,62423691,930749381,Calle 66 #142
122,Saul,García,76539817,925346025,Calle 132 #830
123,Jorge,Torres,42401265,957046766,Calle 82 #665
124,Ana,Lopez,80511799,990177533,Calle 76 #539
125,Carlos,Fernandes,46465967,974724543,Calle 171 #840
126,Pedro,Rojas,79807941,968685456,Calle 121 #465
127,Manuel,Sosa,74772743,987970963,Calle 49 #662
128,Pedro,Torres,90813147,936723167,Calle 2 #847
129,Luis,Martinez,77092759,915663399,Calle 196 #850
130,Saul,Sosa,18425333,974841840,Calle 93 #503
131,Manuel,Martinez,32321622,943297668,Calle 52 #688
132,Manuel,Rojas,75684292,917191434,Calle 141 #958
133,María,Rojas,71933597,921133775,Calle 200 #861
134,Luis,Fernandes,63838741,942876061,Calle 166 #278
135,Saul,Rojas,28221475,964324334,Calle 181 #673
136,Lucía,Martinez,66429878,940785530,Calle 112 #523
137,Lucía,García,82651048,958385615,Calle 124 #957
138,Saul,García,88508653,986608204,Calle 169 #970
139,Carlos,Castillo,56872926,935011825,Calle 49 #180
140,Ana,Castillo,82298667,910404461,Calle 155 #614
141,Lucía,Vega,62052355,953971849,Calle 81 #981
142,Jorge,Vega,75752695,994049700,Calle 45 #919
143,Jorge,García,32252821,960395152,Calle 103 #574
144,Sofía,Fernandes,84990133,966606751,Calle 155 #629
145,Manuel,García,69236567,917918474,Calle 28 #841
146,Manuel,Torres,23240749,943263226,Calle 72 #836
147,Pedro,Torres,65723669,981803088,Calle 95 #937
148,Saul,Lopez,14740278,986072975,Calle 164 #911
149,Saul,Fernandes,10379893,911877451,Calle 194 #888
150,Jorge,Fernandes,68864987,964136171,Calle 158 #733
151,Carlos,Sosa,81862648,990060912,Calle 35 #517
152,Lucía,Rojas,18716195,971932093,Calle 17 #275
153,Manuel,Lopez,16787785,997033133,Calle 169 #375
154,Saul,Ramirez,56927613,969290486,Calle 180 #853
155,Sofía,Ramirez,22447809,998484394,Calle 14 #134
156,Jorge,Castillo,30402711,965100189,Calle 141 #648
157,María,Vega,24597038,987448736,Calle 175 #469
158,María,Vega,91634217,928179066,Calle 119 #841
159,Pedro,Lopez,70945361,919369483,Calle 67 #822
160,María,Lopez,75103027,984993881,Calle 27 #358
161,Ana,Lopez,28696483,972289018,Calle 110 #514
162,Saul,Torres,71557656,925573080,Calle 39 #668
163,Luis,Sosa,68587489,910489796,Calle 114 #877
164,Pedro,Martinez,77258138,945867440,Calle 41 #421
165,Lucía,Sosa,70007064,916715153,Calle 14 #880
166,Luis,Sosa,56067463,985947119,Calle 138 #663
167,Saul,Ramirez,44778706,987156577,Calle 76 #461
168,Jorge,Lopez,71504732,951320121,Calle 66 #173
169,Lucía,Lopez,66815787,919399847,Calle 166 #172
170,Luis,García,54073729,969422373,Calle 139 #796
171,Lucía,Vega,97178322,993533245,Calle 69 #668
172,María,Ramirez,79748107,977407746,Calle 111 #773
173,Pedro,Rojas,80248112,990519403,Calle 179 #157
174,Pedro,Lopez,30619512,974196814,Calle 126 #388
175,Sofía,Rojas,41855565,910154725,Calle 96 #357
176,Luis,Vega,53360631,996916476,Calle 121 #286
177,Lucía,Martinez,93095806,968562681,Calle 83 #796
178,María,Fernandes,14415707,955655193,Calle 29 #193
179,Manuel,Torres,36250075,968551769,Calle 61 #281
180,Sofía,Sosa,96248341,910588244,Calle 129 #666
181,María,Sosa,88990966,955984607,Calle 147 #297
182,Luis,Fernandes,87217965,932288690,Calle 81 #109
183,Pedro,Rojas,94346348,935243638,Calle 115 #156
184,Luis,Rojas,74282635,986031910,Calle 35 #117
185,Sofía,Torres,13342396,978293680,Calle 46 #633
186,Luis,Fernandes,25619707,930214954,Calle 128 #740
187,María,Vega,49766099,950335864,Calle 13 #499
188,Saul,Sosa,68432584,960413302,Calle 168 #767
189,Carlos,Rojas,43090109,968111558,Calle 105 #722
190,Luis,Ramirez,48830707,914089954,Calle 150 #268
191,María,Martinez,21951632,935756499,Calle 152 #623
192,Luis,Rojas,16205675,961086582,Calle 61 #449
193,Sofía,García,90160979,958270566,Calle 148 #970
194,Luis,Ramirez,83903092,986595833,Calle 3 #919
195,Saul,Ramirez,24173838,927687059,Calle 53 #378
196,Lucía,Fernandes,48317246,975670393,Calle 106 #847
197,Carlos,Rojas,31828282,959617677,Calle 179 #103
198,Lucía,Sosa,99926054,992806110,Calle 147 #934
199,Lucía,Lopez,74065615,913887817,Calle 76 #258
200,Sofía,Vega,28961412,975666241,Calle 99 #191
