Nombre,Apellido,Especialidad,Telefono
Juan,Martinez,Electrónica,987590101
Juan,García,Electrónica,975940689
Carlos,Sosa,Hardware,979883058
Sofía,Lopez,Hardware,943553985
Ana,Ramirez,Electrónica,928614559
Ana,Martinez,Electrónica,948066592
Carlos,Rojas,Software,950682079
Ana,Sosa,Electrónica,942129078
Sofía,Martinez,Hardware,988239749
Juan,García,Software,936166189
Carlos,Lopez,Software,952193195
Sofía,Martinez,Electrónica,918723370
Ana,Sosa,Software,965414501
María,Ramirez,Hardware,976652993
Carlos,Fernandes,Mantenimiento,920864867
Lucía,Martinez,Mantenimiento,960220893
Lucía,Fernandes,Hardware,969263948
Lucía,García,Redes,968147347
José,Rojas,Software,946870065
Lucía,Sosa,Hardware,945839766
Sofía,Torres,Software,998640298
Lucía,Sosa,Electrónica,956650224
Ana,Martinez,Software,910672239
Juan,Lopez,Redes,942564265
Pedro,Torres,Electrónica,964330330
Lucía,Martinez,Electrónica,942401265
Carlos,Rojas,Mantenimiento,977092759
Pedro,Sosa,Electrónica,971933597
José,Sosa,Electrónica,982651048
Ana,Martinez,Electrónica,932252821
Sofía,Fernandes,Electrónica,914740278
Juan,Rojas,Mantenimiento,918716195
Juan,Lopez,Hardware,930402711
Pedro,Rojas,Electrónica,928696483
Sofía,Martinez,Mantenimiento,970007064
Ana,Torres,Electrónica,966815787
Ana,Sosa,Software,953360631
Juan,García,Mantenimiento,987217965
Sofía,Ramirez,Hardware,949766099
José,García,Redes,921951632
Juan,Fernandes,Redes,931828282
Sofía,Sosa,Redes,989877367
José,García,Redes,934500660
Pedro,García,Electrónica,937877379
Pedro,Torres,Electrónica,980122670
José,Rojas,Mantenimiento,937985289
Carlos,Lopez,Hardware,994190319
Juan,García,Electrónica,991842345
José,Martinez,Software,919418416
José,Fernandes,Hardware,956708372
